Aragonesi,Occidental 
abella,"ape (-iere)"
acelerar,"accelerar (-ation, -ator)"
acero,"n. stal (-atri, -in)"
agricultura,"agricultura (-al)"
aladro,"n. plug (-ar, -ator, -ferre)"
alchebra,algebra
alchebra,algebra
allo,alie
allo,alie
aluminio,aluminium
aluminio,aluminium
anyo,"annu (-al, -arium)"
araina,"arané"
arambre,cupre
árbol,"árbor"
archent,"n. argente (-in)"
arroz,ris
arte,"arte (-ist, -istic)"
astronomía,"astronomie (-ic)"
ateísmo,ateisme
atomo,"atom (-ic, -bombe)"
au,avie
augua,"aqua (-ar, -tic)"
auto,"carre, coche, automobile"
bicicleta,bicicle
biolochía,"biologie (-ic)"
boira,"nube (-at, -osi)"
branca,ramette
caballo,cavalle
café,café
calandario,"calendare; almanac"
camello,camel
can,"cane (-in, -allia)"
capital,"a. capital (-ist); n. capitale"
cebolla,cebul
ceresa,"cerese (-iero)"
cerial,"cereal, frument"
cheolochía,"geologie (-ic)"
cheometría,"geometrie (-ic)"
cheometría,"geometrie (-ic)"
chuego,lude
chuguete,"ludette; auripelle; talmi"
ciresa,"cerese (-iero)"
civilización,civilisation
clima,"clima (-tic)"
conoiximiento,"saventie, conossentie; erudition"
democracia,democratie
dichestión,digestion
dios,"deo (-essa)"
economía,"economie (-ic, -ist, -isar)"
educación,education
equación,equation
esporte,sport
establo,stalle
estanyo,"n. (metal) stanno (-ar); lagune"
estatistica,statistica
estatistica,statistica
estrela,"stelle (-ari), astre, sídere"
estructura,"structura (-al), edificie"
familia,"familie (-al),"
fen,"fen (-ero, -ation)"
feno,"fen (-ero, -ation)"
fesica,"fisica"
fisica,fisica
folla,"folie (-at, -age, -ette, -osi)"
fraga,"frespere (-iero)"
fruita,"fructe (-iferi, -osi, -iero,-venditor)"
fuego,foy
fuella,"folie (-at, -age, -ette, -osi)"
fuerza,fortie
fusta,ligne
hordio,hordeo
huerdio,hordeo
industria,"industrie (-al, -alisme, -alisar)"
limón,"citron, limon"
lochica,"logica (-al, -o)"
lochica,"n. logica (-al, -o)"
luenga,lingue
matematicas,matematica
mazana,"pom (-iero)"
mente,mente
metalurchia,metallurgie
miel,"miel (-osi)"
milloca,máis
mineral,"a. ~; n. minerale (-ogie)"
mito,"mite (-ologie, -ologic)"
moda,moda
molecula,"molecul (-ari)"
molusco,mollusco
monarquía,monarchie
montanya,monte
narancha,"orange (-iero, -ería)"
palla,pallie
panizo,máis
pimiento,"pipre (-ar, -iere, -bux)"
politica,"politica (-al)"
puent,ponte
quadra,stalle
queso,"caseo (-in)"
quimica,chimie
quimica,chimie
rama,"branche, rame"
relichión,religion
republica,"republica (-an, -anisme)"
roz,ris
submarín,"a. submarin; n. ~, nave submersibil"
tallo,stípite
tiempo,"témpor; epoca, era; (clima) tempe"
toza,stump
trigo,"frument, grane"
trunfa,"potate, terr-pom"
uella,"agne (-ello, -in)"
uello,ocul
universo,"universe (-al, -alitá)"
verdura,legume

